NOM_ENT,POBTOT,POBFEM,POBMAS,REL_H_M,POB0_14,POB15_64,POB65_MAS,REL_H_M,POB0_14,POB15_64,POB65_MAS,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M
Aguascalientes,1425607,728924,696683,95.58,385195,941834,97070,95.58,385195,941834,97070,2094244,2124615,881468,1243147,848068,377381,2082750,868662,1214088,41865,12806,29059
Baja California,3769020,1868431,1900589,101.72,878303,2637218,245280,101.72,878303,2637218,245280,5710474,6040280,2502508,3537772,2060405,1047966,5960928,2477944,3482984,79352,24564,54788
Baja California Sur,798447,392568,405879,103.39,197053,549039,48513,103.39,197053,549039,48513,1222376,1286694,524104,762590,415399,209510,1266419,518009,748410,20275,6095,14180
Campeche,928363,471424,456939,96.93,241118,613113,69838,96.93,241118,613113,69838,1375070,1392183,561494,830689,560360,239526,1373234,556259,816975,18949,5235,13714
Coahuila de Zaragoza,3146771,1583102,1563669,98.77,824280,2086745,229587,98.77,824280,2086745,229587,8144553,7528341,2849979,4678362,3497503,1228181,7386998,2816486,4570512,141343,33493,107850
Colima,731391,370769,360622,97.26,173163,494510,61762,97.26,173163,494510,61762,5580232,5605781,2282446,3323335,2276618,1100136,5502986,2252643,3250343,102795,29803,72992
Chiapas,5543828,2837881,2705947,95.35,1770076,3396877,349031,95.35,1770076,3396877,349031,13215155,15300265,6949590,8350675,5530061,2865828,14956796,6821952,8134844,343469,127638,215831
Chihuahua,3741869,1888047,1853822,98.19,942323,2512947,278960,98.19,942323,2512947,278960,4698735,4459801,1746105,2713696,2009910,947431,4357726,1720065,2637661,102075,26040,76035
Ciudad de México,9209944,4805017,4404927,91.67,1652773,6525440,1022105,91.67,1652773,6525440,1022105,1084134,1162204,493640,668564,413146,200184,1144978,488310,656668,17226,5330,11896
Durango,1832650,927784,904866,97.53,513904,1172629,142942,97.53,513904,1172629,142942,2723989,2460367,946839,1513528,1223939,562204,2394029,931070,1462959,66338,15769,50569
Guanajuato,6166934,3170480,2996454,94.51,1635692,4052225,466968,94.51,1635692,4052225,466968,9001293,9002568,3624184,5378384,3921515,1569134,8840747,3584133,5256614,161821,40051,121770
