ENTIDAD,NOM_ENT,POBTOT,POBFEM,POBMAS,PEA,PEA_F,PEA_M,PE_INAC,PE_INAC_F,PE_INAC_M,POCUPADA,POCUPADA_F,POCUPADA_M,PDESOCUP,PDESOCUP_F,PDESOCUP_M
1,Aguascalientes,4290257,2189295,2058,2094244,2124615,881468,1243147,848068,377381,2082750,868662,1214088,41865,12806,29059
2,Baja California,11336724,5611418,5566,5710474,6040280,2502508,3537772,2060405,1047966,5960928,2477944,3482984,79352,24564,54788
3,Baja California Sur,2410827,1180708,2561,1222376,1286694,524104,762590,415399,209510,1266419,518009,748410,20275,6095,14180
4,Campeche,2799841,1417395,2800,1375070,1392183,561494,830689,560360,239526,1373234,556259,816975,18949,5235,13714
5,Chiapas,16727540,8534605,21487,8144553,7528341,2849979,4678362,3497503,1228181,7386998,2816486,4570512,141343,33493,107850
6,Chihuahua,11289275,5677191,12389,5580232,5605781,2282446,3323335,2276618,1100136,5502986,2252643,3250343,102795,29803,72992
7,Ciudad de México,27631200,14415357,666,13215155,15300265,6949590,8350675,5530061,2865828,14956796,6821952,8134844,343469,127638,215831
8,Coahuila de Zaragoza,9463395,4753107,4149,4698735,4459801,1746105,2713696,2009910,947431,4357726,1720065,2637661,102075,26040,76035
9,Colima,2201723,1113814,1259,1084134,1162204,493640,668564,413146,200184,1144978,488310,656668,17226,5330,11896
10,Durango,5529174,2789535,6006,2723989,2460367,946839,1513528,1223939,562204,2394029,931070,1462959,66338,15769,50569
11,Guanajuato,18537786,9517959,8945,9001293,9002568,3624184,5378384,3921515,1569134,8840747,3584133,5256614,161821,40051,121770
12,Guerrero,10637147,5523378,7001,5106118,4908960,2054955,2854005,2207407,947358,4821717,2035004,2786713,87243,19951,67292
13,Hidalgo,9254321,4805507,4916,4445358,4508311,1864980,2643331,2004888,842694,4422924,1841829,2581095,85387,23151,62236
14,Jalisco,25091511,12758219,10715,12309423,12742583,5298383,7444200,4876444,2165300,12570478,5247565,7322913,172105,50818,121287
15,México,50990806,26223906,5136,24755373,25634270,10649597,14984673,10713268,4775092,25093836,10487296,14606540,540434,162301,378133
16,Michoacán de Ocampo,14282240,7334129,8956,6929984,6896976,2739441,4157535,3016654,1148771,6798354,2715499,4082855,98622,23942,74680
17,Morelos,5918530,3062483,1678,2853139,3054602,1317465,1737137,1190768,541107,2989271,1298847,1690424,65331,18618,46713
18,Nayarit,3722686,1872562,2913,1841962,1831574,751487,1080087,726903,346109,1808756,745576,1063180,22818,5911,16907
19,Nuevo León,17375804,8684466,4974,8680051,8592010,3335464,5256546,3664237,1679213,8428318,3289177,5139141,163692,46287,117405
20,Oaxaca,12416096,6475719,11856,5928875,5480788,2200487,3280301,2895783,1232213,5377474,2180403,3197071,103314,20084,83230
21,Puebla,19762042,10271959,7059,9483264,9597362,3932601,5664761,4208781,1635503,9438319,3887948,5550371,159043,44653,114390
22,Querétaro,7111099,3636021,2249,3472215,3700755,1567690,2133065,1361817,614077,3632489,1547340,2085149,68266,20350,47916
23,Quintana Roo,5584233,2765506,2243,2813588,3023796,1219336,1804460,967949,411178,2974247,1202729,1771518,49549,16607,32942
24,San Luis Potosí,8487627,4353922,6729,4123245,4091059,1631345,2459714,1859533,776199,4020304,1612839,2407465,70755,18506,52249
25,Sinaloa,9134947,4607299,5552,4500589,4436980,1807817,2629163,1918454,906471,4372290,1787924,2584366,64690,19893,44797
26,Sonora,8878460,4425385,7500,4431056,4355689,1750444,2605245,1824914,917032,4266343,1724461,2541882,89346,25983,63363
27,Tabasco,7211504,3687630,2517,3521983,3518606,1411135,2107471,1499543,610299,3440895,1391205,2049690,77711,19930,57781
28,Tamaulipas,10612261,5380180,6695,5217522,5219176,2100257,3118919,2242511,1023888,5109634,2069711,3039923,109542,30546,78996
29,Tlaxcala,4033507,2080163,1323,1950811,1916205,776023,1140182,860449,355826,1867030,762438,1104592,49175,13585,35590
30,Veracruz de Ignacio de la Llave,24258583,12586919,20401,11635849,11572158,4524548,7047610,5737516,2193953,11348434,4467262,6881172,223724,57286,166438
31,Yucatán,6972504,3543738,2691,3423630,3483707,1392417,2091290,1490469,652361,3443276,1380093,2063183,40431,12324,28107
32,Zacatecas,4883380,2497023,4669,2377829,2107205,759361,1347844,1181661,456186,2061483,750624,1310859,45722,8737,36985
