ENTIDAD,NOM_ENT,POBTOT,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,VIVPARH_CV,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,OCUPVIVPAR,PROM_OCUP,VPH_1DOR,VPH_2YMASD,VPH_1CUART,VPH_2CUART,VPH_3YMASC,VPH_C_ELEC,VPH_S_ELEC,VPH_AGUADV,VPH_AEASP,VPH_AGUAFV,VPH_TINACO,VPH_CISTER,VPH_EXCSA,VPH_LETR,VPH_DRENAJ,VPH_NODREN,VPH_C_SERV,VPH_NDEAED,VPH_DSADMA,VPH_NDACMM,VPH_SNBIEN,VPH_REFRI,VPH_LAVAD,VPH_HMICRO,VPH_AUTOM,VPH_MOTO,VPH_BICI,VPH_RADIO,VPH_TV,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_CVJ,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC
1,Aguascalientes,1425607,463972,386671,453099,375798,386011,386445,60327,16974,1421200,3.68,86423,299141,6390,30686,348487,384361,1210,383430,355192,2137,295903,152521,382597,1011,383148,2379,380982,184,382121,130744,876,365189,335710,238571,240381,45642,105752,312002,370411,177149,147818,359895,236003,174089,98724,70126,6021,15323,128996,1711
2,Baja California,3769020,1325949,1149563,1236142,1059756,1144251,1148913,119411,56975,3739800,3.26,342666,798841,59355,189174,892967,1132622,8947,1117719,1069538,23823,122201,71176,1091956,44752,1101573,39745,1085176,3062,1087646,332788,5204,1086226,946647,730313,800176,66156,155157,740452,1071379,576454,576806,1080169,800189,618175,384011,216865,41223,38772,293529,9582
3,Baja California Sur,798447,299873,240660,286051,226838,239358,240468,35776,23437,793424,3.3,83834,154268,31013,38337,168738,235285,2826,226124,210742,11973,195709,64637,230755,5610,231864,6170,220917,450,229382,73154,1493,219805,164034,115666,161315,18099,28452,142908,214312,108948,91750,226517,148723,136538,67961,36197,14508,8675,77223,2608
4,Campeche,928363,321634,260824,312770,251960,260221,260725,42196,18614,926854,3.55,116234,142732,38000,57062,163902,255453,3516,248625,223034,10343,188401,52939,245200,5610,245656,13279,236503,889,243050,128025,5559,218630,201206,86222,89762,64350,62159,136266,226163,87769,68843,218322,114020,151613,38508,17976,23627,36397,130361,12028
5,Coahuila de Zaragoza,3146771,1078048,901249,1043108,866309,900275,900883,129872,46927,3137032,3.48,220857,677432,14549,74407,809324,895921,2396,889513,859115,8789,598397,122510,882547,11349,886984,11235,879659,538,880714,321539,2308,870949,780014,574724,554420,67634,167028,642682,863515,367970,372132,824291,519599,443659,195883,124077,17020,46420,332298,5754
6,Colima,731391,288978,227050,278552,216624,226445,226853,47329,14599,728297,3.21,73164,152586,11457,42001,172292,224634,1121,224122,218820,1634,168639,56894,224485,255,224708,1039,222876,174,224381,92021,1493,211596,170380,98535,117854,36845,41614,155254,206844,90200,80251,206736,132395,114164,43881,22695,9173,12085,82366,2698
7,Chiapas,5543828,1694405,1351630,1668330,1325555,1348105,1351023,241916,100859,5524499,4.09,562888,778553,160201,339743,841484,1317473,23972,1207826,868303,133616,667487,415559,1178078,126568,1226871,114526,1129602,7736,1180905,953051,126493,870621,590197,245672,284758,153101,187556,734149,1036741,212970,159652,944695,292189,433400,61298,32460,214333,379915,993929,151655
8,Chihuahua,3741869,1401765,1146915,1348614,1093764,1145185,1146395,186778,68072,3725031,3.25,324559,818117,37607,133950,971111,1125620,17090,1125206,1048376,17437,407925,42464,1095308,32290,1105223,37136,1095836,5950,1093707,346643,15763,1081646,984232,822240,783621,77198,125791,795328,1068519,488724,460540,1051045,650546,481871,282049,179964,42113,64419,432032,20158
9,Ciudad de México,9209944,3036239,2757433,2883154,2604348,2752169,2756319,207026,71780,9159392,3.32,813453,1935230,136682,314544,2297404,2746872,1917,2719720,2655528,29004,2328798,1665465,2738826,4975,2744306,4207,2715805,175,2738936,1385629,6180,2580111,2279427,1843092,1289361,214550,550349,2165974,2647911,1649403,1898265,2536523,2084156,1290811,957162,568827,46172,77272,561128,10528
10,Durango,1832650,632975,493989,614109,475123,493142,493698,102682,36304,1821273,3.69,122022,370077,11968,50211,429915,483167,8921,482430,410519,9676,383135,116819,459918,18039,467143,24896,461972,3412,458976,199759,9048,449272,381316,273963,273559,58736,128226,317430,457688,169760,137873,434450,215108,222785,73099,54664,22071,41801,243750,12446
